#cluster	accession	definition	organism	taxid	length
PCLA_6065834	WP_015984947.1	superinfection immunity protein	Salmonella enterica	28901	59
PCLA_6061789	WP_016047094.1	head protein	Salmonella virus SE2	2005699	95
PCLA_6060447	WP_016047111.1	DUF1833 domain-containing protein	Jerseyvirus	1910991	171
PCLA_6060264	WP_034086686.1	hypothetical protein	Salmonella virus L13	2005697	116
PCLA_6059254	WP_034086675.1	hypothetical protein	Salmonella virus L13	2005697	777
PCLA_6058364	WP_034086676.1	hypothetical protein	Salmonella virus L13	2005697	138
PCLA_6049989	WP_034086690.1	hypothetical protein	Salmonella virus L13	2005697	129
PCLA_6048119	WP_015984934.1	hypothetical protein	Salmonella enterica	28901	349
PCLA_6039045	WP_034086681.1	hypothetical protein	Salmonella virus L13	2005697	139
PCLA_6029056	WP_034086680.1	hypothetical protein	Salmonella virus L13	2005697	389
PCLA_6022863	WP_015976751.1	hypothetical protein	Salmonella enterica	28901	119
PCLA_6017358	WP_034086673.1	hypothetical protein	Salmonella virus L13	2005697	852
PCLA_6013977	WP_015984939.1	hypothetical protein	Salmonella enterica	28901	201
PCLA_6013528	WP_016047092.1	hypothetical protein	Bacteria	2	233
PCLA_6012705	WP_016062382.1	hypothetical protein	Bacteria	2	121
PCLA_6008576	WP_034086674.1	hypothetical protein	Salmonella virus L13	2005697	147
PCLA_6008326	WP_034086691.1	tail protein	Salmonella virus L13	2005697	152
PCLA_6003551	WP_016062390.1	DUF2815 domain-containing protein	Salmonella enterica	28901	208
PCLA_5997827	WP_016062370.1	hypothetical protein	Salmonella virus L13	2005697	62
PCLA_5992326	WP_015984918.1	hypothetical protein	Salmonella enterica	28901	93
PCLA_5988210	WP_015984941.1	hypothetical protein	Salmonella enterica	28901	131
PCLA_5987164	WP_034086683.1	hypothetical protein	Salmonella virus L13	2005697	119
PCLA_5985336	WP_015976724.1	hypothetical protein	Bacteria	2	67
PHA3621	NP_015532	E1A protein	Murine adenovirus A	129956	200
PHA3620	NP_040870	membrane glycoprotein E3 CR1-beta	Human adenovirus F	130309	276
PHA3619	NP_040517	protein 13.6K	Human adenovirus C	129951	145
PHA3618	NP_597754	protein U	Human adenovirus C	129951	54
PHA3617	YP_002213784	encapsidation protein 22K	Human adenovirus B	108098	199
PHA3615	YP_068041	membrane glycoprotein E3 gp19K	Human adenovirus E	130308	174
PHA3614	NP_108673	129R protein	Porcine adenovirus C	130371	129
PHA3613	YP_002213794	control protein E3 14.7K	Human adenovirus B	108098	136
PHA3612	YP_067927	E3 RID-alpha	Simian adenovirus 3	38420	95
PHA3611	YP_067904	E1B 19 kDa protein	Simian adenovirus 3	38420	185
PHA3610	YP_067931	E4 ORF6/7	Simian adenovirus 3	38420	152
PHA3609	NP_597756	control protein E4orf1	Human adenovirus C	129951	128
PHA3608	NP_597928	hypothetical protein	Ovine adenovirus A	114424	78
PHA3607	YP_003038630	13.6 kDa protein	Human adenovirus 54	651580	117
PHA3606	YP_002640223	control protein E4orf2	Human adenovirus A	129875	131
